ID,Zitat,Kategorie,Autor,Wikidata-ID (Autor),Werk,"Stelle im Werk 
(Ausgabe, Seite, etc)",Wikidata-ID (Werk),Sprache Zitat,Sprache Original,Quelle ,Bild ,"Argument, Beweis - ID","Argument, Beweis - Titel",Begriffe
40,"Denn sind Erscheinungen Dinge an sich selbst, so ist Freiheit nicht zu retten.",Philosophy,Immanuel Kant,Q9312,Kritik der reinen Vernunft,9.Von dem empirischen Gebrauche des regulativen Prinzips... III. Auflösung der komsologischen Ideen...,Q220002,DE,DE,,,,,
41,The only true wisdom is in knowing you know nothing.,Daily Inspiration,Sokrates,Q913,,,,EN,EL,,Socrates.jpg,,,
42,It is not wisdom but Authority that makes a law.,Politics,Thomas Hobbes,Q37621,,,,EN,EN,,Hobbes.jpg,,,
43,"Life is really simple, but we insist on making it complicated.",Daily Inspiration,Konfuzius,Q4604,,,,EN,ZH,,Confucius.jpg,,,
44,Ordnung ist die Verbindung des Vielen nach einer Regel.,Philosophy,Immanuel Kant,Q9312,,,,DE,DE,,Kant.jpg,,,
45,"Der Mensch sollte alle seine Werke zunächst einmal in seinem Herzen erwägen, bevor er sie ausführt.",Daily Inspiration,Hildegard von Bingen,Q70991,,,,DE,DE,,vonBingen.jpg,,,
46,La liberté de notre volonté se connaît sans preuve par la seule expérience que nous en avons.,Philosophy,René Descartes,Q9191,,,,FR,FR,,Descartes.jpg,,,
47,"Leider neigt unsere Gesellschaft dazu, sich jeweils nur auf eine Bedrohung zu konzentrieren und die anderen zu bagatellisieren. Schlimmer noch, wir konzentrieren uns eher auf seltene und spektakuläre Bedrohungen und ignorieren die häufigen und langweiligen. Daher fürchten wir uns mehr vor dem Fliegen als vor dem Autofahren, obwohl das Fliegen sehr viel sicherer ist. Oder wir fürchten uns mehr vor Terroristen als vor der Polizei, obwohl die Wahrscheinlichkeit, von einem Polizisten getötet zu werden, in den USA neunmal höher ist, als einem Terroristen zum Opfer zu fallen.",Politics,Bruce Schneier,Q368328,"Data und Goliath. Die Schlacht um die Kontrolle unserer Welt","Redline 2015 (1.), S.155",,DE,EN,,,,,
48,"Eines ist klar: Wenn man über die Rechtfertigung predigt, dann schlafen die Leute ein oder husten; wenn man aber anfängt, Geschichten zu erzählen und anschauliche Beispiele zu bringen, dann spitzen sie die Ohren und hören aufmerksam zu.",Biographical,Martin Luther,Q9554,,,,DE,DE,"Fabian Vogt: Luther für Neugierige, Evang. VA, S.10",,,,
49,"Die protestantische Kirche hat vergessen, dass sie auch die Kirche der Aufklärung ist.",Politics,Martin Urban,Q1905159,"Ach Gott, die Kirche!","dtv 2016, S.15",,,,,,,,
50,"Mit dem Tod geht alles verloren, was unser Gehirn gespeichert hat.",Philosophy,Martin Urban,Q1905159,"Ach Gott, die Kirche!","dtv 2016, S.242",,,,,,,,
51,"Von keinem Hindu wurde berichtet, er habe Jesus gesehen, und kein Christ begegnete einer Hindu-Gottheit.",Philosophy,"Glenn Roberts, John Owen",,"British Journal of Psychiatry, Bd. 153, 1988",S.607,,,,"zit. nach Martin Urabn: Ach Gott, die Kirche!, S.126",,,,
52,The computer is so clever that it can even seem to the victim that he is sitting and reading these very words about the amusing but quite absurd supposition that there is an evil scientist who removes people´s brains from their bodies and places them in a vat of nurtrients.,Philosophy,Hilary Putnam,Q221697,"Reason, Truth, and History",,,EN,EN,"zit. n. 50 philosophy ideas (Ben Dupé), Quercus, S.7",,2,Gehirn im Tank,
53,"Die verborgene Zwiesprache ist ... eine direkte Begegnung zwischen Gott und der Seele, losgelöst aus allen materiellen Beschränkungen.",Philosophy,Avicenna,Q8011,Buch der Thesen und Erklärungen,,,DE,,"Das Philosophie-Buch (DK 2011), S.78",,,,
54,"Das Problem ist, dass wir unsere Glückserwartung fast komplett in dieses Lebensmodell verschoben haben. Der Partner und die Kinder sollen uns froh machen, das Zuhause ist der Sehnsuchtsort, in dem alles stimmen muss. Das ist so überfrachtet, dass es nicht funktionieren kann. Die Familie soll glücklich machen, aber sie tut es nicht.",Politics,Mariam Irene Tazi-Preve,Q32786213,,,,,,"""Das Ende der Kleinfamilie"", SZ vom 25.10.2017",,,,
55,"Unsere Definition von Familie ist viel zu eng gefasst. „Vater, Mutter, Kinder – das sind viel zu wenige Personen, um sich gegenseitig sämtliche Bedürfnisse erfüllen zu können. Zudem werden bei der Kleinfamilie zwei Dinge in einen Zusammenhang gestellt, die nicht zwingend etwas miteinander zu tun haben: Die romantische Liebe und das sichere Aufwachsen von Kindern.",Politics,Mariam Irene Tazi-Preve,Q32786213,,,,,,"""Das Ende der Kleinfamilie"", SZ vom 25.10.2017",,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
